300x47	300 200 9,5 8,0 81	60	9499 633 12,5 710	1268 127 4,58 194,5	5,28	16,2	1,38	47,5
300x57	300 200 12,5 8,0 275	72	11730 782 12,8 870	1668 167 4,81 254,4	5,39	30,7	1,38	56,5
300x67	300 200 16,0 8,0 268	85	14200 947 12,9 1052	2134 213 5,00 324,3	5,48	59,2	1,38	67,1
300x70	300 200 16,0 9,5 268	89	14440 963 12,7 1079	2135 214 4,89 326,0	5,43	62,3	1,38	70,2
300x79	300 200 19,0 9,5 262	101	16450 1097 12,8 1231	2535 254 5,01 385,9	5,48	98,9	1,38	79,2
300x85	300 200 19,0 12,5 262	109	16900 1127 12,5 1282	2538 254 4,83 390,2	5,40	109,0	1,38	85,4
300x95	300 200 22,4 12,5 255	122	19030 1269 12,5 1447	2991 299 4,96 458,0	5,46	166,0	1,38	95,4
300x55	300 250 9,5 8,0 281	70	11500 767 12,8 848	2475 198 5,95 301,4	6,71	19,1	1,58	54,9
300x66	300 250 12,5 8,0 275	84	14310 954 13,0 1050	3256 261 6,21 395,0	6,83	37,2	1,58	66,3
300x80	300 250 16,0 8,0 268	101	17430 1162 13,1 1280	4168 333 6,41 504,3	6,91	72,8	1,58	79,6
300x83	300 250 16,0 9,5 268	105	17670 1178 12,9 1307	4169 333 6,29 506,0	6,86	75,9	1,58	82,8
300x94	300 250 19,0 9,5 262	120	20210 1347 13,0 1500	4950 396 6,43 599,7	6,92	122,0	1,58	94,1
300x100	300 250 19,0 12,5 262	128	20660 1377 12,7 1549	4952 396 6,23 604,0	6,94	131,0	1,58	100,0
300x113	300 250 22,4 12,5 255	144	23360 1557 12,7 1758	5837 467 6,37 710,0	6,90	204,0	1,58	113,0
350x73	350 250 12,5 9,5 325	93	20520 1173 14,8 1306	3258 261 5,91 398,0	6,69	41,8	1,68	73,3
350x87	350 250 16,0 9,5 318	110	24870 1421 15,0 1576	4169 334 6,15 507,2	6,80	77,4	1,68	86,5
350x98	350 250 19,0 9,5 312	125	28450 1626 15,1 1803	4950 396 6,30 600,8	6,87	123,0	1,68	97,8
350x105	350 250 19,0 12,5 312	134	29210 1669 14,8 1876	4953 396 6,08 605,9	6,77	135,0	1,68	105,0
300x47	300 200 9,5 8,0 81	60	9499 633 12,5 710	1268 127 4,58 194,5	5,28	16,2	1,38	47,5
300x57	300 200 12,5 8,0 275	72	11730 782 12,8 870	1668 167 4,81 254,4	5,39	30,7	1,38	56,5
350x118	350 250 22,4 12,5 305	150	33100 1889 14,8 2126	5838 467 6,24 711,0	6,84	207,0	1,68	118,0
350x128	350 250 25,0 12,5 300	163	35890 2051 14,9 2313	6515 521 6,33 793,0	6,88	280,0	1,68	128,0
350x136	350 250 25,0 16,0 300	173	36670 2026 14,6 2391	6521 522 6,14 800,5	6,80	301,0	1,67	136,0
400x82	400 300 12,5 8,0 375	105	31680 1584 17,4 1734	5627 375 7,32 563,0	8,14	45,5	1,98	82,4
400x87	400 300 12,5 9,5 375	111	32340 1617 17,1 1787	5628 375 7,13 571,0	8,05	49,8	1,98	68,8
400x103	400 300 16,0 9,5 368	131	39369 1968 17,3 2165	7203 480 7,42 728,3	8,18	92,4	1,98	103,0
400x116	400 300 19,0 9,5 362	148	45160 2258 17,4 2483	8553 570 7,59 863,2	8,26	148,0	1,98	116,0
400x125	400 300 19,0 12,5 362	159	46350 2317 17,1 2581	8556 570 7,33 869,1	8,14	161,0	1,98	125,0
400x140	400 300 22,4 12,5 355	179	52630 2632 17,2 2932	10090 672 7,51 1022,0	8,22	248,0	1,98	140,0
400x152	400 300 25,0 12,5 350	194	57280 2864 17,2 3195	11260 750 7,62 1139,0	8,27	335,0	1,98	152,0
400x162	400 300 25,0 16,0 350	206	58530 2926 16,9 3303	11260 751 7,39 1147,0	8,17	360,0	1,97	162,0
450x116	450 300 16,0 12,5 418	148	52830 2348 18,9 2629	7207 480 6,97 736,3	7,97	109,0	2,08	116,0
450x130	450 300 19,0 12,5 412	166	60260 2678 19,1 2987	8557 570 7,19 871,1	8,07	164,0	2,08	130,0
450x141	450 300 19,0 16,0 412	180	62300 2769 18,6 3136	8564 570 6,90 881,4	7,93	193,0	2,07	141,0
450x156	450 300 22,4 16,0 405	199	70360 3127 18,8 3530	10090 673 7,12 1034,0	8,04	280,0	2,07	156,0
450x168	450 300 25,0 16,0 400	214	76350 3393 18,9 3828	11260 751 7,25 1151,0	8,10	367,0	2,07	168,0
450x177	450 300 25,0 19,0 400	226	77950 3464 18,6 3948	11270 752 7,06 1161,0	8.01	404,0	2,06	177,0
450x188	450 300 25,0 22,4 400	240	79760 3545 18,2 4084	11290 752 6,86 1175,0	7,91	462,0	2,06	188,0
450x206	450 300 31,5 19,0 387	263	92090 4093 18,7 4666	14200 946 7,35 1452,0	8,15	714,0	2,06	206,0
450x216	450 300 31,5 22,4 387	276	93730 4166 18,4 4794	14210 947 7,18 1466,0	8,07	770,0	2,06	216,0
500x123	500 350 16,0 9,5 468	156	73730 2949 21,7 3231	11440 654 8,55 980,0	9,50	109,0	2,38	123,0
500x134	500 350 16,0 12,5 468	171	76290 3052 21,2 3395	11440 654 8,19 998,3	9,33	126,0	2,38	134,0
500x150	500 350 19,0 12,5 462	191	87240 3490 21,4 3866	13580 776 8,44 1182,0	9,44	190,0	2,38	150,0
500x162	500 350 19,0 16,0 462	207	90120 3605 20,9 2052	13590 777 8,11 1193,0	9,28	223,0	2,37	162,0
500x180	500 350 22,4 16,0 455	230	102100 4082 21,1 4573	16020 916 8,35 1401,0	9,40	324,0	2,37	180,0
500x194	500 350 25,0 16,0 450	247	111000 4438 21,2 4966	17880 1022 8,51 1560,0	9,48	426,0	2,37	194,0
500x204	500 350 25,0 19,0 450	261	113200 4529 20,8 5118	17890 1022 8,29 1572,0	9,37	467,0	2,36	204,0
500x217	500 350 25,0 22,4 450	450	115800 4632 20,5 5290	17910 1023 8,06 1588,0	9,26	533,0	2,36	217,0
500x238	500 350 31,5 19,0 437	304	134400 5376 21,0 6072	22530 1288 8,62 1969,0	9,53	829,0	2,36	238,0
500x250	500 350 31,5 22,4 427	318	136800 5470 20,7 6235	22550 1289 8,42 1984,0	9,43	893,0	2,36	250,0
500x259	500 350 31,5 25,0 437	330	138600 5543 20,5 6359	22570 1290 8,27 1998,0	9,36	957,0	2,33	259,0
500x281	500 350 37,5 22,4 425	358	155000 6201 20,8 7082	26840 1534 9,55 1390,0	9,55	1390,0	2,36	281,0
500x314	500 350 44,0 22,4 412	400	173700 6946 20,8 7973	31480 1799 8,87 2747,0	9,64	2142,0	2,36	314,0
550x184	550 400 19,0 16,0 512	234	125100 4549 23,1 5084	20280 1014 9,31 1553,0	10,6	253,0	2,67	184,0
550x204	550 400 22,4 16,0 505	260	142000 5163 23,4 5748	23910 1196 9,59 1824,0	10,8	369,0	2,67	204,0
550x220	550 400 25,0 16,0 500	280	154600 5621 23,5 6250	26680 1334 9,76 2032,0	10,8	485,0	2,67	220,0
550x232	550 400 25,0 19,0 500	295	157700 5735 23,1 6438	26700 1335 9,51 2045,0	10,7	531,0	2,66	232,0
550x245	550 400 25,0 22,4 500	312	161300 5864 22,7 6650	26710 1336 9,25 2063,0	10,6	604,0	2,66	245,0
550x270	550 400 31,5 19,0 487	345	187900 6832 23,4 7660	33630 1681 9,88 2564,0	10,9	945,0	2,66	270,0
550x283	550 400 31,5 22,4 487	361	191100 6951 23,0 7861	33650 1682 9,65 2581,0	10,8	1020,0	2,66	283,0
550x293	550 400 31,5 25,0 487	374	193600 7042 22,8 8015	33660 1683 9,49 2596,0	10,7	1090,0	2,65	293,0
550x319	550 400 37,5 22,4 475	406	217300 7904 23,1 8951	40000 2002 9,93 3060,0	10,9	1580,0	2,66	319,0
